NCBIgeneSymbol,HGNCgeneId,HGNCgeneSymbol,featureType,build37RefSeq,build37Start,build37End,build38RefSeq,build38Start,build38End,name,geneSynonym,chromosome,NCBIgeneId,Oncogene,TSG
RFPL4A,HGNC:16449,RFPL4A,GENE,NC_000019.9,56270506,56274541,NC_000019.10,55757297,55763421,ret finger protein like 4A,"RFPL4,RNF210",chr19,GeneID:342931,,
RFPL4AL1,HGNC:45147,RFPL4AL1,GENE,NC_000019.9,56280483,56284786,NC_000019.10,55769117,55773420,ret finger protein like 4A like 1,RNF210B,chr19,GeneID:729974,,
RFPL4B,HGNC:33264,RFPL4B,GENE,NC_000006.11,112668531,112672496,NC_000006.12,112347329,112351294,ret finger protein like 4B,RNF211,chr6,GeneID:442247,,
RFT1,HGNC:30220,RFT1,GENE,NC_000003.11,53122498,53164451,NC_000003.12,53071150,53130469,RFT1 homolog,CDG1N,chr3,GeneID:91869,,
RFTN1,HGNC:30278,RFTN1,GENE,NC_000003.11,16357351,16555206,NC_000003.12,16315844,16513699,raftlin%2C lipid raft linker 1,"MIG2,PIB10,PIG9,RAFTLIN",chr3,GeneID:23180,,
RFTN2,HGNC:26402,RFTN2,GENE,NC_000002.11,198432947,198540311,NC_000002.12,197568223,197675794,raftlin family member 2,"C2orf11,Raftlin-2",chr2,GeneID:130132,,
RFWD3,HGNC:25539,RFWD3,GENE,NC_000016.9,74655296,74700775,NC_000016.10,74621395,74666892,ring finger and WD repeat domain 3,"FANCW,RNF201",chr16,GeneID:55159,,
RFX1,HGNC:9982,RFX1,GENE,NC_000019.9,14072341,14117132,NC_000019.10,13961529,14007514,regulatory factor X1,"EFC,RFX",chr19,GeneID:5989,,
RFX2,HGNC:9983,RFX2,GENE,NC_000019.9,5993174,6110511,NC_000019.10,5993163,6110601,regulatory factor X2,,chr19,GeneID:5990,,
RFX3,HGNC:9984,RFX3,GENE,NC_000009.11,3218296,3526001,NC_000009.12,3218296,3526529,regulatory factor X3,,chr9,GeneID:5991,,
RFX4,HGNC:9985,RFX4,GENE,NC_000012.11,106976781,107156581,NC_000012.12,106583003,106762803,regulatory factor X4,NYD-SP10,chr12,GeneID:5992,,
RFX5,HGNC:9986,RFX5,GENE,NC_000001.10,151313115,151319728,NC_000001.11,151340639,151347319,regulatory factor X5,,chr1,GeneID:5993,,
RFX6,HGNC:21478,RFX6,GENE,NC_000006.11,117198404,117253324,NC_000006.12,116877217,116932163,regulatory factor X6,"dJ955L16.1,MTCHRS,MTFS,RFXDC1",chr6,GeneID:222546,,
RFX7,HGNC:25777,RFX7,GENE,NC_000015.9,56379477,56537280,NC_000015.10,56087279,56247654,regulatory factor X7,RFXDC2,chr15,GeneID:64864,,
RFX8,HGNC:37253,RFX8,GENE,NC_000002.11,102013820,102091574,NC_000002.12,101397343,101475179,regulatory factor X8,,chr2,GeneID:731220,,
RFXANK,HGNC:9987,RFXANK,GENE,NC_000019.9,19303066,19312675,NC_000019.10,19192257,19201869,regulatory factor X associated ankyrin containing protein,"ANKRA1,BLS,F14150_1,RFX-B",chr19,GeneID:8625,,
RFXAP,HGNC:9988,RFXAP,GENE,NC_000013.10,37393358,37403241,NC_000013.11,36819221,36829104,regulatory factor X associated protein,,chr13,GeneID:5994,,
RGCC,HGNC:20369,RGCC,GENE,NC_000013.10,42031685,42045007,NC_000013.11,41457410,41470876,regulator of cell cycle,"bA157L14.2,C13orf15,RGC-32,RGC32",chr13,GeneID:28984,,
RGL1,HGNC:30281,RGL1,GENE,NC_000001.10,183605243,183897666,NC_000001.11,183636093,183928532,ral guanine nucleotide dissociation stimulator like 1,RGL,chr1,GeneID:23179,,
RGL2,HGNC:9769,RGL2,GENE,NC_000006.11,33259430,33266719,NC_000006.12,33291653,33299365,ral guanine nucleotide dissociation stimulator like 2,"HKE1.5,KE1.5,RAB2L",chr6,GeneID:5863,,
RGL3,HGNC:30282,RGL3,GENE,NC_000019.9,11504735,11529990,NC_000019.10,11394059,11419314,ral guanine nucleotide dissociation stimulator like 3,,chr19,GeneID:57139,,
RGL4,HGNC:31911,RGL4,GENE,NC_000022.10,24033199,24041355,NC_000022.11,23691012,23699168,ral guanine nucleotide dissociation stimulator like 4,Rgr,chr22,GeneID:266747,YES,
RGMA,HGNC:30308,RGMA,GENE,NC_000015.9,93578500,93632440,NC_000015.10,93035270,93089211,repulsive guidance molecule BMP co-receptor a,RGM,chr15,GeneID:56963,,
RGMB,HGNC:26896,RGMB,GENE,NC_000005.9,98104335,98132198,NC_000005.10,98768631,98796494,repulsive guidance molecule BMP co-receptor b,DRAGON,chr5,GeneID:285704,,
RGN,HGNC:9989,RGN,GENE,NC_000023.10,46937841,46952712,NC_000023.11,47078413,47093313,regucalcin,"GNL,HEL-S-41,RC,SMP30",chrX,GeneID:9104,,
RGP1,HGNC:21965,RGP1,GENE,NC_000009.11,35749283,35758582,NC_000009.12,35749286,35758585,RGP1 homolog%2C RAB6A GEF complex partner 1,KIAA0258,chr9,GeneID:9827,,
RGPD1,HGNC:32414,RGPD1,GENE,NC_000002.11,87144737,87241099,NC_000002.12,86913576,87013976,RANBP2 like and GRIP domain containing 1,"RanBP2L2,ranBP2L6,RGP1,RGPD2",chr2,GeneID:400966,,
RGPD2,HGNC:32415,RGPD2,GENE,NC_000002.11,88056716,88125286,NC_000002.12,87755959,87992819,RANBP2 like and GRIP domain containing 2,"NUP358,RANBP2L2,RGP2",chr2,GeneID:729857,,
RGPD3,HGNC:32416,RGPD3,GENE,NC_000002.11,107019861,107084869,NC_000002.12,106403405,106470935,RANBP2 like and GRIP domain containing 3,RGP3,chr2,GeneID:653489,,
RGPD4,HGNC:32417,RGPD4,GENE,NC_000002.11,108443347,108509000,NC_000002.12,107826891,107892544,RANBP2 like and GRIP domain containing 4,RGP4,chr2,GeneID:285190,,
RGPD5,HGNC:32418,RGPD5,GENE,NC_000002.11,110550334,110615282,NC_000002.12,109760593,109857705,RANBP2 like and GRIP domain containing 5,"BS-63,BS63,HEL161,RGP5",chr2,GeneID:84220,,
RGPD6,HGNC:32419,RGPD6,GENE,NC_000002.11,111271378,111368633,NC_000002.12,110513801,110611056,RANBP2 like and GRIP domain containing 6,"RanBP2L1,RanBP2L2,RGP6,RGPD7",chr2,GeneID:729540,,
RGPD8,HGNC:9849,RGPD8,GENE,NC_000002.11,113125945,113191222,NC_000002.12,112368368,112433645,RANBP2 like and GRIP domain containing 8,"RanBP2alpha,RANBP2L1,RGP8",chr2,GeneID:727851,,
RGR,HGNC:9990,RGR,GENE,NC_000010.10,86004808,86019716,NC_000010.11,84243740,84259960,retinal G protein coupled receptor,RP44,chr10,GeneID:5995,YES,
RGS1,HGNC:9991,RGS1,GENE,NC_000001.10,192544902,192549154,NC_000001.11,192575772,192580024,regulator of G protein signaling 1,"1R20,BL34,HEL-S-87,IER1,IR20",chr1,GeneID:5996,,
RGS10,HGNC:9992,RGS10,GENE,NC_000010.10,121259328,121302231,NC_000010.11,119499816,119542719,regulator of G protein signaling 10,,chr10,GeneID:6001,,
RGS11,HGNC:9993,RGS11,GENE,NC_000016.9,318305,325944,NC_000016.10,268300,275944,regulator of G protein signaling 11,RS11,chr16,GeneID:8786,,
RGS12,HGNC:9994,RGS12,GENE,NC_000004.11,3315873,3441640,NC_000004.12,3292977,3439913,regulator of G protein signaling 12,,chr4,GeneID:6002,,
RGS13,HGNC:9995,RGS13,GENE,NC_000001.10,192605276,192629441,NC_000001.11,192636146,192660311,regulator of G protein signaling 13,,chr1,GeneID:6003,,
RGS14,HGNC:9996,RGS14,GENE,NC_000005.9,176784924,176799597,NC_000005.10,177357671,177372601,regulator of G protein signaling 14,,chr5,GeneID:10636,,
RGS16,HGNC:9997,RGS16,GENE,NC_000001.10,182567757,182573524,NC_000001.11,182598622,182604389,regulator of G protein signaling 16,"A28-RGS14,A28-RGS14P,RGS-R",chr1,GeneID:6004,,
RGS17,HGNC:14088,RGS17,GENE,NC_000006.11,153325593,153452417,NC_000006.12,153004458,153131284,regulator of G protein signaling 17,"hRGS17,RGS-17,RGSZ2",chr6,GeneID:26575,,
RGS18,HGNC:14261,RGS18,GENE,NC_000001.10,192127591,192154945,NC_000001.11,192158461,192187172,regulator of G protein signaling 18,RGS13,chr1,GeneID:64407,,
RGS19,HGNC:13735,RGS19,GENE,NC_000020.10,62704533,62711317,NC_000020.11,64073180,64080004,regulator of G protein signaling 19,"GAIP,RGSGAIP",chr20,GeneID:10287,,
RGS2,HGNC:9998,RGS2,GENE,NC_000001.10,192778168,192781405,NC_000001.11,192809038,192812275,regulator of G protein signaling 2,G0S8,chr1,GeneID:5997,,
RGS20,HGNC:14600,RGS20,GENE,NC_000008.10,54764354,54871864,NC_000008.11,53851794,53959304,regulator of G protein signaling 20,"g(z)GAP,gz-GAP,RGSZ1,ZGAP1",chr8,GeneID:8601,,
RGS21,HGNC:26839,RGS21,GENE,NC_000001.10,192286121,192336415,NC_000001.11,192316991,192367285,regulator of G protein signaling 21,,chr1,GeneID:431704,,
RGS22,HGNC:24499,RGS22,GENE,NC_000008.10,100973163,101118277,NC_000008.11,99960935,100106946,regulator of G protein signaling 22,"CT145,PRTD-NY2",chr8,GeneID:26166,,
RGS3,HGNC:9999,RGS3,GENE,NC_000009.11,116207009,116360023,NC_000009.12,113444729,113597743,regulator of G protein signaling 3,"C2PA,RGP3",chr9,GeneID:5998,,
RGS4,HGNC:10000,RGS4,GENE,NC_000001.10,163038660,163046592,NC_000001.11,163068870,163076802,regulator of G protein signaling 4,"RGP4,SCZD9",chr1,GeneID:5999,,
RGS5,HGNC:10001,RGS5,GENE,NC_000001.10,163112088,163291525,NC_000001.11,163142298,163321735,regulator of G protein signaling 5,"MST092,MST106,MST129,MSTP032,MSTP092,MSTP106,MSTP129",chr1,GeneID:8490,,
RGS6,HGNC:10002,RGS6,GENE,NC_000014.8,72398887,73033238,NC_000014.9,71867396,72632478,regulator of G protein signaling 6,"GAP,HA117,S914",chr14,GeneID:9628,,
RGS7,HGNC:10003,RGS7,GENE,NC_000001.10,240938041,241520530,NC_000001.11,240774741,241357230,regulator of G protein signaling 7,,chr1,GeneID:6000,,
RGS7BP,HGNC:23271,RGS7BP,GENE,NC_000005.9,63801841,63908146,NC_000005.10,64505946,64612330,regulator of G protein signaling 7 binding protein,R7BP,chr5,GeneID:401190,,
RGS8,HGNC:16810,RGS8,GENE,NC_000001.10,182610952,182721511,NC_000001.11,182641813,182753293,regulator of G protein signaling 8,,chr1,GeneID:85397,,
RGS9,HGNC:10004,RGS9,GENE,NC_000017.10,63133487,63223821,NC_000017.11,65137369,65227703,regulator of G protein signaling 9,"PERRS,RGS9L",chr17,GeneID:8787,,
RGS9BP,HGNC:30304,RGS9BP,GENE,NC_000019.9,33166753,33169206,NC_000019.10,32675847,32678300,regulator of G protein signaling 9 binding protein,"PERRS,R9AP,RGS9",chr19,GeneID:388531,,
RGSL1,HGNC:18636,RGSL1,GENE,NC_000001.10,182419280,182529732,NC_000001.11,182447875,182560597,regulator of G protein signaling like 1,"RGSL,RGSL2",chr1,GeneID:353299,,
RHAG,HGNC:10006,RHAG,GENE,NC_000006.11,49572887,49604552,NC_000006.12,49605174,49636874,Rh associated glycoprotein,"CD241,OHS,OHST,RH2,Rh50,RH50A,Rh50GP,RHNR,SLC42A1",chr6,GeneID:6005,,
RHBDD1,HGNC:23081,RHBDD1,GENE,NC_000002.11,227664874,227863926,NC_000002.12,226800158,226999210,rhomboid domain containing 1,"RHBDL4,RRP4",chr2,GeneID:84236,,
RHBDD2,HGNC:23082,RHBDD2,GENE,NC_000007.13,75508351,75518244,NC_000007.14,75879014,75888926,rhomboid domain containing 2,"NPD007,RHBDL7",chr7,GeneID:57414,,
RHBDD3,HGNC:1308,RHBDD3,GENE,NC_000022.10,29655840,29664152,NC_000022.11,29259851,29268213,rhomboid domain containing 3,"C22orf3,HS984G1A,PTAG",chr22,GeneID:25807,,
RHBDF1,HGNC:20561,RHBDF1,GENE,NC_000016.9,108057,122629,NC_000016.10,58058,76355,rhomboid 5 homolog 1,"C16orf8,Dist1,EGFR-RS,gene-89,gene-90,hDist1",chr16,GeneID:64285,,
RHBDF2,HGNC:20788,RHBDF2,GENE,NC_000017.10,74466974,74497509,NC_000017.11,76470892,76501440,rhomboid 5 homolog 2,"iRhom2,RHBDL5,RHBDL6,TEC,TOC,TOCG",chr17,GeneID:79651,,
RHBDL1,HGNC:10007,RHBDL1,GENE,NC_000016.9,725670,728268,NC_000016.10,675670,678271,rhomboid like 1,"RHBDL,RRP",chr16,GeneID:9028,,
RHBDL2,HGNC:16083,RHBDL2,GENE,NC_000001.10,39351478,39407502,NC_000001.11,38885806,38941830,rhomboid like 2,RRP2,chr1,GeneID:54933,,
RHBDL3,HGNC:16502,RHBDL3,GENE,NC_000017.10,30592850,30651680,NC_000017.11,32265831,32324661,rhomboid like 3,"RHBDL4,VRHO",chr17,GeneID:162494,,
RHBG,HGNC:14572,RHBG,GENE,NC_000001.10,156339001,156355011,NC_000001.11,156366043,156385219,Rh family B glycoprotein,SLC42A2,chr1,GeneID:57127,,
RHCE,HGNC:10008,RHCE,GENE,NC_000001.10,25688739,25747426,NC_000001.11,25360658,25430193,Rh blood group CcEe antigens,"CD240CE,RH,RH30A,Rh4,RHC,RHCe(152N),RHE,RhIVb(J),RHIXB,RHNA,RHPI,RhVI,RhVIII",chr1,GeneID:6006,,
RHCG,HGNC:18140,RHCG,GENE,NC_000015.9,90014637,90039814,NC_000015.10,89471406,89496583,Rh family C glycoprotein,"C15orf6,PDRC2,RHGK,SLC42A3",chr15,GeneID:51458,,
RHD,HGNC:10009,RHD,GENE,NC_000001.10,25598976,25656936,NC_000001.11,25272392,25330445,Rh blood group D antigen,"CD240D,DIIIc,RH,RH30,Rh4,RHCED,RhDCw,RHDel,RHDVA(TT),RhII,RhK562-II,RhPI,RHPII,RHXIII",chr1,GeneID:6007,,
RHEB,HGNC:10011,RHEB,GENE,NC_000007.13,151163097,151216981,NC_000007.14,151466011,151519895,Ras homolog%2C mTORC1 binding,RHEB2,chr7,GeneID:6009,,
RHEBL1,HGNC:21166,RHEBL1,GENE,NC_000012.11,49458458,49463762,NC_000012.12,49064675,49069979,RHEB like 1,RHEBL1c,chr12,GeneID:121268,,
RHEX,HGNC:25341,RHEX,GENE,NC_000001.10,206238881,206288197,NC_000001.11,206053172,206102449,regulator of hemoglobinization and erythroid cell expansion,C1orf186,chr1,GeneID:440712,,
RHNO1,HGNC:28206,RHNO1,GENE,NC_000012.11,2985430,2998690,NC_000012.12,2876264,2889524,RAD9-HUS1-RAD1 interacting nuclear orphan 1,"C12orf32,HKMT1188,RHINO",chr12,GeneID:83695,,
RHO,HGNC:10012,RHO,GENE,NC_000003.11,129247481,129254187,NC_000003.12,129528638,129535344,rhodopsin,"CSNBAD1,OPN2,RP4",chr3,GeneID:6010,YES,
RHOA,HGNC:667,RHOA,GENE,NC_000003.11,49396577,49449409,NC_000003.12,49359144,49411976,ras homolog family member A,"ARH12,ARHA,EDFAOB,RHO12,RHOH12",chr3,GeneID:387,YES,YES
RHOB,HGNC:668,RHOB,GENE,NC_000002.11,20646834,20649201,NC_000002.12,20447073,20449440,ras homolog family member B,"ARH6,ARHB,MST081,MSTP081,RHOH6",chr2,GeneID:388,,YES
RHOBTB1,HGNC:18738,RHOBTB1,GENE,NC_000010.10,62629195,62761198,NC_000010.11,60869437,61001486,Rho related BTB domain containing 1,,chr10,GeneID:9886,,
RHOBTB2,HGNC:18756,RHOBTB2,GENE,NC_000008.10,22844763,22877712,NC_000008.11,22987250,23020199,Rho related BTB domain containing 2,"DBC2,DEE64,EIEE64,p83",chr8,GeneID:23221,,YES
RHOBTB3,HGNC:18757,RHOBTB3,GENE,NC_000005.9,95067039,95132065,NC_000005.10,95713521,95796361,Rho related BTB domain containing 3,,chr5,GeneID:22836,,
RHOC,HGNC:669,RHOC,GENE,NC_000001.10,113243752,113250030,NC_000001.11,112701130,112707408,ras homolog family member C,"ARH9,ARHC,H9,RHOH9",chr1,GeneID:389,YES,
RHOD,HGNC:670,RHOD,GENE,NC_000011.9,66824317,66839488,NC_000011.10,67056846,67072017,ras homolog family member D,"ARHD,Rho,RHOHP1,RHOM",chr11,GeneID:29984,,
RHOF,HGNC:15703,RHOF,GENE,NC_000012.11,122215659,122231594,NC_000012.12,121777753,121793688,ras homolog family member F%2C filopodia associated,"ARHF,RIF",chr12,GeneID:54509,,
RHOG,HGNC:672,RHOG,GENE,NC_000011.9,3848207,3862189,NC_000011.10,3826977,3840959,ras homolog family member G,ARHG,chr11,GeneID:391,,
RHOH,HGNC:686,RHOH,GENE,NC_000004.11,40192699,40248587,NC_000004.12,40191079,40246967,ras homolog family member H,"ARHH,TTF",chr4,GeneID:399,,
RHOJ,HGNC:688,RHOJ,GENE,NC_000014.8,63671160,63760226,NC_000014.9,63204411,63293508,ras homolog family member J,"ARHJ,RASL7B,TC10B,TCL",chr14,GeneID:57381,,
RHOQ,HGNC:17736,RHOQ,GENE,NC_000002.11,46769628,46811827,NC_000002.12,46542408,46584688,ras homolog family member Q,"ARHQ,HEL-S-42,RASL7A,TC10,TC10A",chr2,GeneID:23433,,
RHOT1,HGNC:21168,RHOT1,GENE,NC_000017.10,30469520,30552746,NC_000017.11,32142501,32253374,ras homolog family member T1,"ARHT1,MIRO-1,MIRO1",chr17,GeneID:55288,,
RHOT2,HGNC:21169,RHOT2,GENE,NC_000016.9,718082,724174,NC_000016.10,668082,674174,ras homolog family member T2,"ARHT2,C16orf39,MIRO-2,MIRO2,RASL",chr16,GeneID:89941,,
RHOU,HGNC:17794,RHOU,GENE,NC_000001.10,228780393,228882416,NC_000001.11,228644646,228746669,ras homolog family member U,"ARHU,CDC42L1,G28K,hG28K,WRCH1",chr1,GeneID:58480,,
RHOV,HGNC:18313,RHOV,GENE,NC_000015.9,41164411,41166432,NC_000015.10,40872213,40874234,ras homolog family member V,"ARHV,CHP,WRCH2",chr15,GeneID:171177,,
RHOXF1,HGNC:29993,RHOXF1,GENE,NC_000023.10,119243008,119249823,NC_000023.11,120109048,120117651,Rhox homeobox family member 1,"OTEX,PEPP1",chrX,GeneID:158800,,
RHOXF2,HGNC:30011,RHOXF2,GENE,NC_000023.10,119292518,119299536,NC_000023.11,120158534,120165630,Rhox homeobox family member 2,"CT107,PEPP-2,PEPP2,THG1",chrX,GeneID:84528,,
RHOXF2B,HGNC:33519,RHOXF2B,GENE,NC_000023.10,119206228,119211655,NC_000023.11,120072263,120077690,Rhox homeobox family member 2B,,chrX,GeneID:727940,,
RHPN1,HGNC:19973,RHPN1,GENE,NC_000008.10,144451045,144466391,NC_000008.11,143368826,143384221,rhophilin Rho GTPase binding protein 1,"ODF5,RHOPHILIN,RHPN",chr8,GeneID:114822,,
RHPN2,HGNC:19974,RHPN2,GENE,NC_000019.9,33469497,33555794,NC_000019.10,32978591,33064888,rhophilin Rho GTPase binding protein 2,"P76RBE,RHOBP",chr19,GeneID:85415,,
RIBC1,HGNC:26537,RIBC1,GENE,NC_000023.10,53449821,53458063,NC_000023.11,53422872,53431115,RIB43A domain with coiled-coils 1,2610028I09Rik,chrX,GeneID:158787,,
RIBC2,HGNC:13241,RIBC2,GENE,NC_000022.10,45809573,45828389,NC_000022.11,45413692,45432509,RIB43A domain with coiled-coils 2,"C22orf11,TRIB",chr22,GeneID:26150,,
RIC1,HGNC:17686,RIC1,GENE,NC_000009.11,5629106,5776557,NC_000009.12,5629029,5778633,RIC1 homolog%2C RAB6A GEF complex partner 1,"bA207C16.1,CATIFA,CIP150,KIAA1432",chr9,GeneID:57589,,
RIC3,HGNC:30338,RIC3,GENE,NC_000011.9,8114511,8190572,NC_000011.10,8092964,8169040,RIC3 acetylcholine receptor chaperone,"AYST720,PRO1385",chr11,GeneID:79608,,
RIC8A,HGNC:29550,RIC8A,GENE,NC_000011.9,207707,215113,NC_000011.10,207707,215113,RIC8 guanine nucleotide exchange factor A,RIC8,chr11,GeneID:60626,,
RIC8B,HGNC:25555,RIC8B,GENE,NC_000012.11,107168459,107283094,NC_000012.12,106774620,106889316,RIC8 guanine nucleotide exchange factor B,"hSyn,RIC8",chr12,GeneID:55188,,
RICTOR,HGNC:28611,RICTOR,GENE,NC_000005.9,38938021,39074501,NC_000005.10,38937919,39074421,RPTOR independent companion of MTOR complex 2,"AVO3,hAVO3,PIA",chr5,GeneID:253260,,
RIDA,HGNC:16897,RIDA,GENE,NC_000008.10,99114571,99129399,NC_000008.11,98102343,98117171,reactive intermediate imine deaminase A homolog,"hp14.5,HRSP12,P14.5,PSP,UK114",chr8,GeneID:10247,,
RIF1,HGNC:23207,RIF1,GENE,NC_000002.11,152266415,152338686,NC_000002.12,151409901,151534200,replication timing regulatory factor 1,,chr2,GeneID:55183,,
RIIAD1,HGNC:26686,RIIAD1,GENE,NC_000001.10,151693997,151702281,NC_000001.11,151721521,151729805,regulatory subunit of type II PKA R-subunit domain containing 1,"C1orf230,NCRNA00166",chr1,GeneID:284485,,
RILP,HGNC:30266,RILP,GENE,NC_000017.10,1549443,1553160,NC_000017.11,1646149,1650077,Rab interacting lysosomal protein,PP10141,chr17,GeneID:83547,,
RILPL1,HGNC:26814,RILPL1,GENE,NC_000012.11,123954600,124018266,NC_000012.12,123470053,123533719,Rab interacting lysosomal protein like 1,"GOSPEL,RLP1",chr12,GeneID:353116,,
RILPL2,HGNC:28787,RILPL2,GENE,NC_000012.11,123899585,123921231,NC_000012.12,123409889,123436684,Rab interacting lysosomal protein like 2,RLP2,chr12,GeneID:196383,,
RIMBP2,HGNC:30339,RIMBP2,GENE,NC_000012.11,130880677,131200844,NC_000012.12,130396132,130716299,RIMS binding protein 2,"PPP1R133,RBP2,RIM-BP2",chr12,GeneID:23504,,
RIMBP3,HGNC:29344,RIMBP3,GENE,NC_000022.10,20455681,20461786,NC_000022.11,18605814,18611919,RIMS binding protein 3,"RIM-BP3,RIM-BP3.1,RIM-BP3.A,RIMBP3.1,RIMBP3A",chr22,GeneID:85376,,
RIMBP3B,HGNC:33891,RIMBP3B,GENE,NC_000022.10,21738039,21743458,NC_000022.11,21383750,21389169,RIMS binding protein 3B,"RIM-BP3.2,RIM-BP3.B,RIMBP3.2",chr22,GeneID:440804,,
RIMBP3C,HGNC:33892,RIMBP3C,GENE,NC_000022.10,21899954,21905750,NC_000022.11,21545665,21551461,RIMS binding protein 3C,"RIM-BP3.3,RIMBP3.3",chr22,GeneID:150221,,
RIMKLA,HGNC:28725,RIMKLA,GENE,NC_000001.10,42846462,42889903,NC_000001.11,42380791,42425813,ribosomal modification protein rimK like family member A,"FAM80A,NAAGS,NAAGS-II,NAAGS2",chr1,GeneID:284716,,
RIMKLB,HGNC:29228,RIMKLB,GENE,NC_000012.11,8834195,8935687,NC_000012.12,8681599,8783095,ribosomal modification protein rimK like family member B,"FAM80B,NAAGS,NAAGS-I",chr12,GeneID:57494,,
RIMS1,HGNC:17282,RIMS1,GENE,NC_000006.11,72596252,73112847,NC_000006.12,71886549,72403145,regulating synaptic membrane exocytosis 1,"CORD7,RAB3IP2,RIM,RIM1",chr6,GeneID:22999,,
RIMS2,HGNC:17283,RIMS2,GENE,NC_000008.10,104512837,105268322,NC_000008.11,103499933,104256094,regulating synaptic membrane exocytosis 2,"CRSDS,OBOE,RAB3IP3,RIM2",chr8,GeneID:9699,,
RIMS3,HGNC:21292,RIMS3,GENE,NC_000001.10,41086351,41131354,NC_000001.11,40620679,40692104,regulating synaptic membrane exocytosis 3,"NIM3,RIM 3,RIM3",chr1,GeneID:9783,,
RIMS4,HGNC:16183,RIMS4,GENE,NC_000020.10,43380448,43439187,NC_000020.11,44751807,44810546,regulating synaptic membrane exocytosis 4,"C20orf190,RIM 4,RIM-4,RIM4,RIM4-gamma,RIM4gamma",chr20,GeneID:140730,,
RIN1,HGNC:18749,RIN1,GENE,NC_000011.9,66097711,66104245,NC_000011.10,66330240,66336774,Ras and Rab interactor 1,,chr11,GeneID:9610,,
RIN2,HGNC:18750,RIN2,GENE,NC_000020.10,19738901,19983100,NC_000020.11,19757609,20002456,Ras and Rab interactor 2,"MACS,RASSF4",chr20,GeneID:54453,,
RIN3,HGNC:18751,RIN3,GENE,NC_000014.8,92980124,93155339,NC_000014.9,92513772,92688994,Ras and Rab interactor 3,,chr14,GeneID:79890,,
RING1,HGNC:10018,RING1,GENE,NC_000006.11,33176276,33180493,NC_000006.12,33208499,33212716,ring finger protein 1,"RING1A,RNF1",chr6,GeneID:6015,YES,
RINL,HGNC:24795,RINL,GENE,NC_000019.9,39358469,39368915,NC_000019.10,38867824,38878275,Ras and Rab interactor like,,chr19,GeneID:126432,,
RINT1,HGNC:21876,RINT1,GENE,NC_000007.13,105172647,105208124,NC_000007.14,105532169,105567678,RAD50 interactor 1,"ILFS3,RINT-1",chr7,GeneID:60561,YES,YES
RIOK1,HGNC:18656,RIOK1,GENE,NC_000006.11,7390040,7418270,NC_000006.12,7389807,7418037,RIO kinase 1,"AD034,bA288G3.1,RIO1,RRP10",chr6,GeneID:83732,,
RIOK2,HGNC:18999,RIOK2,GENE,NC_000005.9,96496570,96518951,NC_000005.10,97160866,97183247,RIO kinase 2,RIO2,chr5,GeneID:55781,,
RIOK3,HGNC:11451,RIOK3,GENE,NC_000018.9,21033250,21063104,NC_000018.10,23452822,23483140,RIO kinase 3,SUDD,chr18,GeneID:8780,,
RIOX1,HGNC:20968,RIOX1,GENE,NC_000014.8,73957637,73960098,NC_000014.9,73490932,73493394,ribosomal oxygenase 1,"C14orf169,hsNO66,JMJD9,MAPJD,NO66,ROX,URLC2",chr14,GeneID:79697,,
RIOX2,HGNC:19441,RIOX2,GENE,NC_000003.11,97660661,97691275,NC_000003.12,97941817,97972431,ribosomal oxygenase 2,"JMJD10,MDIG,MINA,MINA53,NO52,ROX",chr3,GeneID:84864,YES,
RIPK1,HGNC:10019,RIPK1,GENE,NC_000006.11,3064200,3115421,NC_000006.12,3063966,3115187,receptor interacting serine/threonine kinase 1,"AIEFL,IMD57,RIP,RIP-1,RIP1",chr6,GeneID:8737,,
RIPK2,HGNC:10020,RIPK2,GENE,NC_000008.10,90770043,90803292,NC_000008.11,89757815,89791064,receptor interacting serine/threonine kinase 2,"CARD3,CARDIAK,CCK,GIG30,RICK,RIP2",chr8,GeneID:8767,,
RIPK3,HGNC:10021,RIPK3,GENE,NC_000014.8,24805230,24809197,NC_000014.9,24336024,24339991,receptor interacting serine/threonine kinase 3,RIP3,chr14,GeneID:11035,,
RIPK4,HGNC:496,RIPK4,GENE,NC_000021.8,43159532,43187212,NC_000021.9,41739372,41767052,receptor interacting serine/threonine kinase 4,"ANKK2,ANKRD3,CHANDS,DIK,NKRD3,PKK,PPS2,RIP4",chr21,GeneID:54101,,
RIPOR1,HGNC:25836,RIPOR1,GENE,NC_000016.9,67562731,67580689,NC_000016.10,67518422,67546786,RHO family interacting cell polarization regulator 1,FAM65A,chr16,GeneID:79567,,
RIPOR2,HGNC:13872,RIPOR2,GENE,NC_000006.11,24804511,25042396,NC_000006.12,24804283,25042288,RHO family interacting cell polarization regulator 2,"C6orf32,DFNB104,DIFF40,DIFF48,FAM65B,MYONAP,PL48",chr6,GeneID:9750,,
RIPOR3,HGNC:16168,RIPOR3,GENE,NC_000020.10,49202644,49308079,NC_000020.11,50586107,50692004,RIPOR family member 3,"C20orf175,C20orf176,FAM65C",chr20,GeneID:140876,,
RIPPLY1,HGNC:25117,RIPPLY1,GENE,NC_000023.10,106143292,106146571,NC_000023.11,106900062,106903341,ripply transcriptional repressor 1,,chrX,GeneID:92129,,
